Country/Region,Confirmed,Deaths,Recovered,New cases,New deaths,New recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Jordan,1176,11,1041,8,0,0,1223,-47,-3.84,Eastern Mediterranean
Kazakhstan,84648,585,54404,1526,0,1833,73468,11180,15.22,Europe
Kenya,17975,285,7833,372,5,90,13771,4204,30.53,Africa
Kosovo,7413,185,4027,496,16,274,5877,1536,26.14,Europe
Kuwait,64379,438,55057,606,5,684,59763,4616,7.72,Eastern Mediterranean
Kyrgyzstan,33296,1301,21205,483,24,817,27143,6153,22.67,Europe
Laos,20,0,19,0,0,0,19,1,5.26,Western Pacific
Latvia,1219,31,1045,0,0,0,1192,27,2.27,Europe
Lebanon,3882,51,1709,132,0,17,2905,977,33.63,Eastern Mediterranean
Lesotho,505,12,128,0,0,0,359,146,40.67,Africa
Liberia,1167,72,646,5,0,5,1107,60,5.42,Africa
Libya,2827,64,577,158,4,24,1980,847,42.78,Eastern Mediterranean
Liechtenstein,86,1,81,0,0,0,86,0,0.0,Europe
Lithuania,2019,80,1620,11,0,4,1947,72,3.7,Europe
Luxembourg,6321,112,4825,49,0,178,5639,682,12.09,Europe
Madagascar,9690,91,6260,395,6,681,7153,2537,35.47,Africa
Malawi,3664,99,1645,24,0,6,2992,672,22.46,Africa
Malaysia,8904,124,8601,7,0,1,8800,104,1.18,Western Pacific
Maldives,3369,15,2547,67,0,19,2999,370,12.34,South-East Asia
Mali,2513,124,1913,3,1,2,2475,38,1.54,Africa
Malta,701,9,665,1,0,0,677,24,3.55,Europe
Mauritania,6208,156,4653,37,0,223,5923,285,4.81,Africa
Mauritius,344,10,332,0,0,0,343,1,0.29,Africa
Mexico,395489,44022,303810,4973,342,8588,349396,46093,13.19,Americas
Moldova,23154,748,16154,120,13,245,21115,2039,9.66,Europe
Monaco,116,4,104,0,0,0,109,7,6.42,Europe
Mongolia,289,0,222,1,0,4,287,2,0.7,Western Pacific
Montenegro,2893,45,809,94,2,70,2188,705,32.22,Europe
Morocco,20887,316,16553,609,3,115,17562,3325,18.93,Eastern Mediterranean
Mozambique,1701,11,0,32,0,0,1507,194,12.87,Africa
Namibia,1843,8,101,68,0,26,1344,499,37.13,Africa
Nepal,18752,48,13754,139,3,626,17844,908,5.09,South-East Asia
Netherlands,53413,6160,189,419,1,0,52132,1281,2.46,Europe
New Zealand,1557,22,1514,1,0,1,1555,2,0.13,Western Pacific
Nicaragua,3439,108,2492,0,0,0,3147,292,9.28,Americas
Niger,1132,69,1027,0,0,0,1105,27,2.44,Africa
Nigeria,41180,860,18203,648,2,829,37225,3955,10.62,Africa
North Macedonia,10213,466,5564,127,6,137,9249,964,10.42,Europe
Norway,9132,255,8752,15,0,0,9034,98,1.08,Europe
Oman,77058,393,57028,1053,9,1729,68400,8658,12.66,Eastern Mediterranean
Pakistan,274289,5842,241026,1176,20,3592,266096,8193,3.08,Eastern Mediterranean
Panama,61442,1322,35086,1146,28,955,54426,7016,12.89,Americas
Papua New Guinea,62,0,11,0,0,0,19,43,226.32,Western Pacific
Paraguay,4548,43,2905,104,2,111,3748,800,21.34,Americas
Peru,389717,18418,272547,13756,575,4697,357681,32036,8.96,Americas
Philippines,82040,1945,26446,1592,13,336,68898,13142,19.07,Western Pacific
Poland,43402,1676,32856,337,5,103,40383,3019,7.48,Europe
Portugal,50299,1719,35375,135,2,158,48771,1528,3.13,Europe
Qatar,109597,165,106328,292,0,304,107037,2560,2.39,Eastern Mediterranean
Romania,45902,2206,25794,1104,19,151,38139,7763,20.35,Europe
Russia,816680,13334,602249,5607,85,3077,776212,40468,5.21,Europe
Rwanda,1879,5,975,58,0,57,1629,250,15.35,Africa
Saint Kitts and Nevis,17,0,15,0,0,0,17,0,0.0,Americas
Saint Lucia,24,0,22,0,0,0,23,1,4.35,Americas
Saint Vincent and the Grenadines,52,0,39,0,0,0,50,2,4.0,Americas
San Marino,699,42,657,0,0,0,699,0,0.0,Europe
Sao Tome and Principe,865,14,734,2,0,38,746,119,15.95,Africa
Saudi Arabia,268934,2760,222936,1993,27,2613,253349,15585,6.15,Eastern Mediterranean
Senegal,9764,194,6477,83,3,68,8948,816,9.12,Africa
Serbia,24141,543,0,411,9,0,21253,2888,13.59,Europe
Seychelles,114,0,39,0,0,0,108,6,5.56,Africa
Sierra Leone,1783,66,1317,0,0,4,1711,72,4.21,Africa
Singapore,50838,27,45692,469,0,171,48035,2803,5.84,Western Pacific
Slovakia,2181,28,1616,2,0,39,1980,201,10.15,Europe
Slovenia,2087,116,1733,5,0,55,1953,134,6.86,Europe
Somalia,3196,93,1543,18,0,22,3130,66,2.11,Eastern Mediterranean
South Africa,452529,7067,274925,7096,298,9848,373628,78901,21.12,Africa
South Korea,14203,300,13007,28,1,102,13816,387,2.8,Western Pacific
South Sudan,2305,46,1175,43,1,0,2211,94,4.25,Africa
Spain,272421,28432,150376,0,0,0,264836,7585,2.86,Europe
Sri Lanka,2805,11,2121,23,0,15,2730,75,2.75,South-East Asia
Sudan,11424,720,5939,39,3,49,10992,432,3.93,Eastern Mediterranean
Suriname,1483,24,925,44,1,35,1079,404,37.44,Americas
Sweden,79395,5700,0,398,3,0,78048,1347,1.73,Europe
Switzerland,34477,1978,30900,65,1,200,33634,843,2.51,Europe
Syria,674,40,0,24,2,0,522,152,29.12,Eastern Mediterranean
Taiwan*,462,7,440,4,0,0,451,11,2.44,Western Pacific
Tajikistan,7235,60,6028,43,1,58,6921,314,4.54,Europe
Tanzania,509,21,183,0,0,0,509,0,0.0,Africa
Thailand,3297,58,3111,6,0,2,3250,47,1.45,South-East Asia
Timor-Leste,24,0,0,0,0,0,24,0,0.0,South-East Asia
Togo,874,18,607,6,0,8,783,91,11.62,Africa
Trinidad and Tobago,148,8,128,1,0,0,137,11,8.03,Americas
Tunisia,1455,50,1157,3,0,15,1381,74,5.36,Eastern Mediterranean
Turkey,227019,5630,210469,919,17,982,220572,6447,2.92,Europe
US,4290259,148011,1325804,56336,1076,27941,3834677,455582,11.88,Americas
Uganda,1128,2,986,13,0,4,1069,59,5.52,Africa
Ukraine,67096,1636,37202,835,11,317,60767,6329,10.42,Europe
United Arab Emirates,59177,345,52510,264,1,328,57193,1984,3.47,Eastern Mediterranean
United Kingdom,301708,45844,1437,688,7,3,296944,4764,1.6,Europe
Uruguay,1202,35,951,10,1,3,1064,138,12.97,Americas
Uzbekistan,21209,121,11674,678,5,569,17149,4060,23.67,Europe
Venezuela,15988,146,9959,525,4,213,12334,3654,29.63,Americas
Vietnam,431,0,365,11,0,0,384,47,12.24,Western Pacific
West Bank and Gaza,10621,78,3752,152,2,0,8916,1705,19.12,Eastern Mediterranean
Western Sahara,10,1,8,0,0,0,10,0,0.0,Africa
Yemen,1691,483,833,10,4,36,1619,72,4.45,Eastern Mediterranean
Zambia,4552,140,2815,71,1,465,3326,1226,36.86,Africa
Zimbabwe,2704,36,542,192,2,24,1713,991,57.85,Africa
